year,race,position,number,driver,car,laps,time,points
1966,Italy,NC,38, Bonnier,Cooper Maserati,3,DNF,0
1966,Italy,NC,26, Hill,BRM,0,DNF,0
1966,United States,1,1, Clark,Lotus BRM,108,2:09:40.100,9
1966,United States,2,8, Rindt,Cooper Maserati,107,+1 lap,6
1966,United States,3,7, Surtees,Cooper Maserati,107,+1 lap,4
1966,United States,4,19, Siffert,Cooper Maserati,105,+3 laps,3
1966,United States,5,17, McLaren,McLaren Ford,105,+3 laps,2
1966,United States,6,2, Arundell,Lotus Climax,101,+7 laps,1
1966,United States,NC,10, Ireland,BRM,96,DNF,0
1966,United States,NC,12, Ginther,Honda,81,+27 laps,0
1966,United States,NC,18, Spence,Lotus BRM,74,DNF,0
1966,United States,NC,14, Bucknum,Honda,58,DNF,0
1966,United States,NC,22, Bonnier,Cooper Maserati,57,+51 laps,0
1966,United States,NC,5, Brabham,Brabham Repco,55,DNF,0
1966,United States,NC,4, Stewart,BRM,53,DNF,0
1966,United States,NC,3, Hill,BRM,52,DNF,0
1966,United States,NC,9, Bandini,Ferrari,34,DNF,0
1966,United States,NC,6, Hulme,Brabham Repco,18,DNF,0
1966,United States,NC,15, Gurney,Eagle Weslake,13,DNF,0
1966,United States,NC,11, Rodriguez,Lotus BRM,13,DNF,0
1966,United States,DQ,16, Bondurant,Eagle Weslake,5,DSQ,0
1966,Mexico,1,7, Surtees,Cooper Maserati,65,2:06:35.340,9
1966,Mexico,2,5, Brabham,Brabham Repco,65,+7.880s,6
1966,Mexico,3,6, Hulme,Brabham Repco,64,+1 lap,4
1966,Mexico,4,12, Ginther,Honda,64,+1 lap,3
1966,Mexico,5,15, Gurney,Eagle Climax,64,+1 lap,2
1966,Mexico,6,22, Bonnier,Cooper Maserati,63,+2 laps,1
1966,Mexico,7,2, Arundell,Lotus BRM,61,+4 laps,0
1966,Mexico,8,14, Bucknum,Honda,60,+5 laps,0
1966,Mexico,NC,11, Rodriguez,Lotus Climax,49,DNF,0
1966,Mexico,NC,17, McLaren,McLaren Ford,40,DNF,0
1966,Mexico,NC,19, Siffert,Cooper Maserati,33,DNF,0
1966,Mexico,NC,8, Rindt,Cooper Maserati,32,DNF,0
1966,Mexico,NC,10, Ireland,BRM,28,DNF,0
1966,Mexico,NC,4, Stewart,BRM,26,DNF,0
1966,Mexico,NC,16, Bondurant,Eagle Weslake,24,DNF,0
1966,Mexico,NC,3, Hill,BRM,18,DNF,0
1966,Mexico,NC,9, Solana,Cooper Maserati,9,DNF,0
1966,Mexico,NC,1, Clark,Lotus BRM,9,DNF,0
1965,South Africa,1,5, Clark,Lotus Climax,85,2:06:46.000,9
1965,South Africa,2,1, Surtees,Ferrari,85,+29.000s,6
1965,South Africa,3,3, Hill,BRM,85,+31.800s,4
1965,South Africa,4,6, Spence,Lotus Climax,85,+54.400s,3
1965,South Africa,5,9, McLaren,Cooper Climax,84,+1 lap,2
1965,South Africa,6,4, Stewart,BRM,83,+2 laps,1
1965,South Africa,7,12, Siffert,Brabham BRM,83,+2 laps,0
1965,South Africa,8,7, Brabham,Brabham Climax,81,+4 laps,0
1965,South Africa,9,18, Hawkins,Brabham Ford,81,+4 laps,0
1965,South Africa,10,20, de Klerk,Alfa Romeo,79,+6 laps,0
1965,South Africa,11,15, Maggs,Lotus BRM,77,+8 laps,0
1965,South Africa,12,16, Gardner,Brabham BRM,75,+10 laps,0
1965,South Africa,13,25, Tingle,LDS Alfa Romeo,73,+12 laps,0
1965,South Africa,14,19, Prophet,Brabham Ford,71,+14 laps,0
1965,South Africa,15,2, Bandini,Ferrari,66,DNF,0
1965,South Africa,NC,14, Anderson,Brabham Climax,50,+35 laps,0
1965,South Africa,NC,11, Bonnier,Brabham Climax,42,DNF,0
1965,South Africa,NC,10, Rindt,Cooper Climax,39,DNF,0
1965,South Africa,NC,17, Love,Cooper Climax,20,DNF,0
1965,South Africa,NC,8, Gurney,Brabham Climax,11,DNF,0
1965,Monaco,1,3, Hill,BRM,100,2:37:39.600,9
1965,Monaco,2,17, Bandini,Ferrari,100,+64.000s,6
1965,Monaco,3,4, Stewart,BRM,100,+101.900s,4
1965,Monaco,4,18, Surtees,Ferrari,99,DNF,3
1965,Monaco,5,7, McLaren,Cooper Climax,98,+2 laps,2
1965,Monaco,6,14, Siffert,Brabham BRM,98,+2 laps,1
1965,Monaco,7,12, Bonnier,Brabham Climax,97,+3 laps,0
1965,Monaco,8,2, Hulme,Brabham Climax,92,+8 laps,0
1965,Monaco,9,9, Anderson,Brabham Climax,85,+15 laps,0
1965,Monaco,10,10, Hawkins,Lotus Climax,79,DNF,0
1965,Monaco,NC,1, Brabham,Brabham Climax,43,DNF,0
1965,Monaco,NC,15, Attwood,Lotus BRM,43,DNF,0
1965,Monaco,NC,19, Bucknum,Honda,33,DNF,0
1965,Monaco,NC,11, Gardner,Brabham BRM,29,DNF,0
1965,Monaco,NC,16, Hailwood,Lotus BRM,11,DNF,0
1965,Monaco,NC,20, Ginther,Honda,1,DNF,0
1965,Belgium,1,17, Clark,Lotus Climax,32,2:23:34.800,9
1965,Belgium,2,8, Stewart,BRM,32,+44.800s,6
1965,Belgium,3,4, McLaren,Cooper Climax,31,+1 lap,4
1965,Belgium,4,14, Brabham,Brabham Climax,31,+1 lap,3
1965,Belgium,5,7, Hill,BRM,31,+1 lap,2
