year,race,position,number,driver,car,laps,time,points
2022,Saudi Arabia,12,27, Hulkenberg,,50,+91.742s,0
2022,Saudi Arabia,13,18, Stroll,,49,+1 lap,0
2022,Saudi Arabia,14,23, Albon,,47,DNF,0
2022,Saudi Arabia,NC,77, Bottas,,36,DNF,0
2022,Saudi Arabia,NC,14, Alonso,,35,DNF,0
2022,Saudi Arabia,NC,3, Ricciardo,,35,DNF,0
2022,Saudi Arabia,NC,6, Latifi,,14,DNF,0
2022,Saudi Arabia,NC,22, Tsunoda,,0,DNS,0
2022,Australia,1,16, Leclerc,,58,1:27:46.548,26
2022,Australia,2,11, Perez,,58,+20.524s,18
2022,Australia,3,63, Russell,,58,+25.593s,15
2022,Australia,4,44, Hamilton,,58,+28.543s,12
